Product Size,Weight Kgs,Thick MM,Gauges,Category,forecast_month,week_label,week_start_day,week_end_day,weekly_share,predicted_weekly_demand,predicted_monthly_demand,allocation_basis
"2""",13-14 Kgs,1.6 mm,16,Running,January,Week 4,22,28,0.225806,33.316,147.541,calendar_day_share
"2""",13-14 Kgs,1.6 mm,16,Running,January,Week 5,29,31,0.096774,14.278,147.541,calendar_day_share
"2""",16-17 Kgs,2.0 mm,14,Running,January,Week 1,1,7,0.225806,99.123,438.974,calendar_day_share
"2""",16-17 Kgs,2.0 mm,14,Running,January,Week 2,8,14,0.225806,99.123,438.974,calendar_day_share
"2""",16-17 Kgs,2.0 mm,14,Running,January,Week 3,15,21,0.225806,99.123,438.974,calendar_day_share
"2""",16-17 Kgs,2.0 mm,14,Running,January,Week 4,22,28,0.225806,99.123,438.974,calendar_day_share
"2""",16-17 Kgs,2.0 mm,14,Running,January,Week 5,29,31,0.096774,42.481,438.974,calendar_day_share
"2""",16-17½ Kgs,2 mm,14,Running,January,Week 1,1,7,0.225806,0.007,0.033,calendar_day_share
"2""",16-17½ Kgs,2 mm,14,Running,January,Week 2,8,14,0.225806,0.007,0.033,calendar_day_share
"2""",16-17½ Kgs,2 mm,14,Running,January,Week 3,15,21,0.225806,0.007,0.033,calendar_day_share
"2""",16-17½ Kgs,2 mm,14,Running,January,Week 4,22,28,0.225806,0.007,0.033,calendar_day_share
"2""",16-17½ Kgs,2 mm,14,Running,January,Week 5,29,31,0.096774,0.003,0.033,calendar_day_share
"2""",20-21 Kgs,2.35 mm,12,Running,January,Week 1,1,7,0.225806,39.908,176.734,calendar_day_share
"2""",20-21 Kgs,2.35 mm,12,Running,January,Week 2,8,14,0.225806,39.908,176.734,calendar_day_share
"2""",20-21 Kgs,2.35 mm,12,Running,January,Week 3,15,21,0.225806,39.908,176.734,calendar_day_share
"2""",20-21 Kgs,2.35 mm,12,Running,January,Week 4,22,28,0.225806,39.908,176.734,calendar_day_share
"2""",20-21 Kgs,2.35 mm,12,Running,January,Week 5,29,31,0.096774,17.103,176.734,calendar_day_share
"2""",25-26 Kgs,3.25 mm,10,Running,January,Week 1,1,7,0.225806,39.802,176.267,calendar_day_share
"2""",25-26 Kgs,3.25 mm,10,Running,January,Week 2,8,14,0.225806,39.802,176.267,calendar_day_share
"2""",25-26 Kgs,3.25 mm,10,Running,January,Week 3,15,21,0.225806,39.802,176.267,calendar_day_share
"2""",25-26 Kgs,3.25 mm,10,Running,January,Week 4,22,28,0.225806,39.802,176.267,calendar_day_share
"2""",25-26 Kgs,3.25 mm,10,Running,January,Week 5,29,31,0.096774,17.058,176.267,calendar_day_share
"2""",29-30 Kgs,3.65 mm,9,Running,January,Week 1,1,7,0.225806,7.464,33.053,calendar_day_share
"2""",29-30 Kgs,3.65 mm,9,Running,January,Week 2,8,14,0.225806,7.464,33.053,calendar_day_share
"2""",29-30 Kgs,3.65 mm,9,Running,January,Week 3,15,21,0.225806,7.464,33.053,calendar_day_share
"2""",29-30 Kgs,3.65 mm,9,Running,January,Week 4,22,28,0.225806,7.464,33.053,calendar_day_share
"2""",29-30 Kgs,3.65 mm,9,Running,January,Week 5,29,31,0.096774,3.199,33.053,calendar_day_share
"2""",32-34 Kgs,4 mm,8,Running,January,Week 1,1,7,0.225806,9.745,43.158,calendar_day_share
"2""",32-34 Kgs,4 mm,8,Running,January,Week 2,8,14,0.225806,9.745,43.158,calendar_day_share
"2""",32-34 Kgs,4 mm,8,Running,January,Week 3,15,21,0.225806,9.745,43.158,calendar_day_share
"2""",32-34 Kgs,4 mm,8,Running,January,Week 4,22,28,0.225806,9.745,43.158,calendar_day_share
"2""",32-34 Kgs,4 mm,8,Running,January,Week 5,29,31,0.096774,4.177,43.158,calendar_day_share
"2""",32-34 Kgs,5 mm,5,Running,January,Week 1,1,7,0.225806,0.272,1.206,calendar_day_share
"2""",32-34 Kgs,5 mm,5,Running,January,Week 2,8,14,0.225806,0.272,1.206,calendar_day_share
"2""",32-34 Kgs,5 mm,5,Running,January,Week 3,15,21,0.225806,0.272,1.206,calendar_day_share
"2""",32-34 Kgs,5 mm,5,Running,January,Week 4,22,28,0.225806,0.272,1.206,calendar_day_share
"2""",32-34 Kgs,5 mm,5,Running,January,Week 5,29,31,0.096774,0.117,1.206,calendar_day_share
"2""",9½-10 Kgs,1.2 mm,18,Running,January,Week 1,1,7,0.225806,0.307,1.36,calendar_day_share
"2""",9½-10 Kgs,1.2 mm,18,Running,January,Week 2,8,14,0.225806,0.307,1.36,calendar_day_share
"2""",9½-10 Kgs,1.2 mm,18,Running,January,Week 3,15,21,0.225806,0.307,1.36,calendar_day_share
"2""",9½-10 Kgs,1.2 mm,18,Running,January,Week 4,22,28,0.225806,0.307,1.36,calendar_day_share
"2""",9½-10 Kgs,1.2 mm,18,Running,January,Week 5,29,31,0.096774,0.132,1.36,calendar_day_share
"2""",Unknown,Unknown,Unknown,Unknown,January,Week 1,1,7,0.225806,0.043,0.19,calendar_day_share
"2""",Unknown,Unknown,Unknown,Unknown,January,Week 2,8,14,0.225806,0.043,0.19,calendar_day_share
"2""",Unknown,Unknown,Unknown,Unknown,January,Week 3,15,21,0.225806,0.043,0.19,calendar_day_share
"2""",Unknown,Unknown,Unknown,Unknown,January,Week 4,22,28,0.225806,0.043,0.19,calendar_day_share
"2""",Unknown,Unknown,Unknown,Unknown,January,Week 5,29,31,0.096774,0.018,0.19,calendar_day_share
"2½""",10-11 Kgs,Unknown,Unknown,Running,January,Week 1,1,7,0.225806,0.532,2.355,calendar_day_share
"2½""",10-11 Kgs,Unknown,Unknown,Running,January,Week 2,8,14,0.225806,0.532,2.355,calendar_day_share
"2½""",10-11 Kgs,Unknown,Unknown,Running,January,Week 3,15,21,0.225806,0.532,2.355,calendar_day_share
"2½""",10-11 Kgs,Unknown,Unknown,Running,January,Week 4,22,28,0.225806,0.532,2.355,calendar_day_share
"2½""",10-11 Kgs,Unknown,Unknown,Running,January,Week 5,29,31,0.096774,0.228,2.355,calendar_day_share
"2½""",16-17 Kgs,1.6 mm,16,Running,January,Week 1,1,7,0.225806,12.471,55.23,calendar_day_share
"2½""",16-17 Kgs,1.6 mm,16,Running,January,Week 2,8,14,0.225806,12.471,55.23,calendar_day_share
"2½""",16-17 Kgs,1.6 mm,16,Running,January,Week 3,15,21,0.225806,12.471,55.23,calendar_day_share
"2½""",16-17 Kgs,1.6 mm,16,Running,January,Week 4,22,28,0.225806,12.471,55.23,calendar_day_share
"2½""",16-17 Kgs,1.6 mm,16,Running,January,Week 5,29,31,0.096774,5.345,55.23,calendar_day_share
"2½""",21-22 Kgs,2 mm,14,Running,January,Week 1,1,7,0.225806,66.489,294.453,calendar_day_share
"2½""",21-22 Kgs,2 mm,14,Running,January,Week 2,8,14,0.225806,66.489,294.453,calendar_day_share
"2½""",21-22 Kgs,2 mm,14,Running,January,Week 3,15,21,0.225806,66.489,294.453,calendar_day_share
"2½""",21-22 Kgs,2 mm,14,Running,January,Week 4,22,28,0.225806,66.489,294.453,calendar_day_share
"2½""",21-22 Kgs,2 mm,14,Running,January,Week 5,29,31,0.096774,28.495,294.453,calendar_day_share
"2½""",27-28 Kgs,2.65 mm,12,Running,January,Week 1,1,7,0.225806,0.146,0.646,calendar_day_share
"2½""",27-28 Kgs,2.65 mm,12,Running,January,Week 2,8,14,0.225806,0.146,0.646,calendar_day_share
"2½""",27-28 Kgs,2.65 mm,12,Running,January,Week 3,15,21,0.225806,0.146,0.646,calendar_day_share
"2½""",27-28 Kgs,2.65 mm,12,Running,January,Week 4,22,28,0.225806,0.146,0.646,calendar_day_share
"2½""",27-28 Kgs,2.65 mm,12,Running,January,Week 5,29,31,0.096774,0.062,0.646,calendar_day_share
"2½""",32-34 Kgs,3 mm,10,Running,January,Week 1,1,7,0.225806,52.303,231.626,calendar_day_share
"2½""",32-34 Kgs,3 mm,10,Running,January,Week 2,8,14,0.225806,52.303,231.626,calendar_day_share
"2½""",32-34 Kgs,3 mm,10,Running,January,Week 3,15,21,0.225806,52.303,231.626,calendar_day_share
"2½""",32-34 Kgs,3 mm,10,Running,January,Week 4,22,28,0.225806,52.303,231.626,calendar_day_share
"2½""",32-34 Kgs,3 mm,10,Running,January,Week 5,29,31,0.096774,22.415,231.626,calendar_day_share
"2½""",32-34 Kgs,5 mm,5,Running,January,Week 1,1,7,0.225806,0.005,0.022,calendar_day_share
"2½""",32-34 Kgs,5 mm,5,Running,January,Week 2,8,14,0.225806,0.005,0.022,calendar_day_share
"2½""",32-34 Kgs,5 mm,5,Running,January,Week 3,15,21,0.225806,0.005,0.022,calendar_day_share
"2½""",32-34 Kgs,5 mm,5,Running,January,Week 4,22,28,0.225806,0.005,0.022,calendar_day_share
"2½""",32-34 Kgs,5 mm,5,Running,January,Week 5,29,31,0.096774,0.002,0.022,calendar_day_share
"2½""",37-38 Kgs,3.65 mm,9,Running,January,Week 1,1,7,0.225806,9.126,40.415,calendar_day_share
"2½""",37-38 Kgs,3.65 mm,9,Running,January,Week 2,8,14,0.225806,9.126,40.415,calendar_day_share
"2½""",37-38 Kgs,3.65 mm,9,Running,January,Week 3,15,21,0.225806,9.126,40.415,calendar_day_share
"2½""",37-38 Kgs,3.65 mm,9,Running,January,Week 4,22,28,0.225806,9.126,40.415,calendar_day_share
"2½""",37-38 Kgs,3.65 mm,9,Running,January,Week 5,29,31,0.096774,3.911,40.415,calendar_day_share
"2½""",52-54 Kgs,5 mm,6,Running,January,Week 1,1,7,0.225806,0.005,0.022,calendar_day_share
"2½""",52-54 Kgs,5 mm,6,Running,January,Week 2,8,14,0.225806,0.005,0.022,calendar_day_share
"2½""",52-54 Kgs,5 mm,6,Running,January,Week 3,15,21,0.225806,0.005,0.022,calendar_day_share
"2½""",52-54 Kgs,5 mm,6,Running,January,Week 4,22,28,0.225806,0.005,0.022,calendar_day_share
"2½""",52-54 Kgs,5 mm,6,Running,January,Week 5,29,31,0.096774,0.002,0.022,calendar_day_share
"3""",32-34 Kgs,2.65 mm,12,Running,January,Week 1,1,7,0.225806,36.48,161.555,calendar_day_share
"3""",32-34 Kgs,2.65 mm,12,Running,January,Week 2,8,14,0.225806,36.48,161.555,calendar_day_share
"3""",32-34 Kgs,2.65 mm,12,Running,January,Week 3,15,21,0.225806,36.48,161.555,calendar_day_share
"3""",32-34 Kgs,2.65 mm,12,Running,January,Week 4,22,28,0.225806,36.48,161.555,calendar_day_share
"3""",32-34 Kgs,2.65 mm,12,Running,January,Week 5,29,31,0.096774,15.634,161.555,calendar_day_share
"3""",37-38 Kgs,3.65 mm,9,Running,January,Week 1,1,7,0.225806,0.006,0.027,calendar_day_share
"3""",37-38 Kgs,3.65 mm,9,Running,January,Week 2,8,14,0.225806,0.006,0.027,calendar_day_share
"3""",37-38 Kgs,3.65 mm,9,Running,January,Week 3,15,21,0.225806,0.006,0.027,calendar_day_share
"3""",37-38 Kgs,3.65 mm,9,Running,January,Week 4,22,28,0.225806,0.006,0.027,calendar_day_share
