Product Size,Weight Kgs,Thick MM,Gauges,Category,forecast_month,week_label,week_start_day,week_end_day,weekly_share,predicted_weekly_demand,predicted_monthly_demand,allocation_basis
"2""",Unknown,Unknown,Unknown,Unknown,July,Week 4,22,28,0.225806,0.016,0.071,calendar_day_share
"2""",Unknown,Unknown,Unknown,Unknown,July,Week 5,29,31,0.096774,0.007,0.071,calendar_day_share
"2½""",10-11 Kgs,Unknown,Unknown,Running,July,Week 1,1,7,0.225806,0.157,0.693,calendar_day_share
"2½""",10-11 Kgs,Unknown,Unknown,Running,July,Week 2,8,14,0.225806,0.157,0.693,calendar_day_share
"2½""",10-11 Kgs,Unknown,Unknown,Running,July,Week 3,15,21,0.225806,0.157,0.693,calendar_day_share
"2½""",10-11 Kgs,Unknown,Unknown,Running,July,Week 4,22,28,0.225806,0.157,0.693,calendar_day_share
"2½""",10-11 Kgs,Unknown,Unknown,Running,July,Week 5,29,31,0.096774,0.067,0.693,calendar_day_share
"2½""",16-17 Kgs,1.6 mm,16,Running,July,Week 1,1,7,0.225806,19.953,88.364,calendar_day_share
"2½""",16-17 Kgs,1.6 mm,16,Running,July,Week 2,8,14,0.225806,19.953,88.364,calendar_day_share
"2½""",16-17 Kgs,1.6 mm,16,Running,July,Week 3,15,21,0.225806,19.953,88.364,calendar_day_share
"2½""",16-17 Kgs,1.6 mm,16,Running,July,Week 4,22,28,0.225806,19.953,88.364,calendar_day_share
"2½""",16-17 Kgs,1.6 mm,16,Running,July,Week 5,29,31,0.096774,8.551,88.364,calendar_day_share
"2½""",21-22 Kgs,2 mm,14,Running,July,Week 1,1,7,0.225806,32.07,142.025,calendar_day_share
"2½""",21-22 Kgs,2 mm,14,Running,July,Week 2,8,14,0.225806,32.07,142.025,calendar_day_share
"2½""",21-22 Kgs,2 mm,14,Running,July,Week 3,15,21,0.225806,32.07,142.025,calendar_day_share
"2½""",21-22 Kgs,2 mm,14,Running,July,Week 4,22,28,0.225806,32.07,142.025,calendar_day_share
"2½""",21-22 Kgs,2 mm,14,Running,July,Week 5,29,31,0.096774,13.744,142.025,calendar_day_share
"2½""",27-28 Kgs,2.65 mm,12,Running,July,Week 1,1,7,0.225806,0.962,4.261,calendar_day_share
"2½""",27-28 Kgs,2.65 mm,12,Running,July,Week 2,8,14,0.225806,0.962,4.261,calendar_day_share
"2½""",27-28 Kgs,2.65 mm,12,Running,July,Week 3,15,21,0.225806,0.962,4.261,calendar_day_share
"2½""",27-28 Kgs,2.65 mm,12,Running,July,Week 4,22,28,0.225806,0.962,4.261,calendar_day_share
"2½""",27-28 Kgs,2.65 mm,12,Running,July,Week 5,29,31,0.096774,0.412,4.261,calendar_day_share
